iter	Passed	Remaining
0	140	139937
1	140	70248
2	141	46992
3	142	35579
4	143	28617
5	144	23923
6	145	20597
7	145	18091
8	146	16135
9	147	14561
10	147	13275
11	148	12199
12	148	11289
13	149	10512
14	149	9835
15	150	9246
16	150	8724
17	151	8261
18	152	7855
19	152	7482
20	153	7161
21	154	6877
22	155	6599
23	155	6341
24	156	6106
25	157	5885
26	157	5681
27	158	5495
28	158	5318
29	159	5158
30	160	5006
31	160	4860
32	161	4726
33	161	4598
34	162	4476
35	162	4362
36	163	4256
37	164	4153
38	164	4055
39	165	3975
40	166	3897
41	167	3814
42	167	3734
43	168	3662
44	169	3589
45	169	3519
46	170	3452
47	170	3387
48	171	3325
49	171	3266
50	172	3210
51	173	3157
52	174	3110
53	174	3060
54	175	3014
55	176	2967
56	177	2932
57	178	2891
58	178	2853
59	179	2814
60	180	2777
61	180	2738
62	181	2699
63	182	2662
64	182	2627
65	183	2592
66	183	2558
67	184	2526
68	184	2495
69	185	2464
70	186	2434
71	186	2405
72	187	2377
73	187	2350
74	188	2328
75	189	2303
76	190	2278
77	190	2253
78	191	2229
79	191	2206
80	192	2183
81	193	2162
82	193	2137
83	194	2115
84	194	2096
85	195	2075
86	195	2056
87	196	2035
88	197	2016
89	197	1998
90	198	1979
91	198	1961
92	199	1943
93	199	1925
94	201	1921
95	202	1907
96	203	1890
97	203	1877
98	204	1861
99	205	1846
100	205	1830
101	206	1815
102	206	1800
103	207	1785
104	207	1771
105	208	1757
106	208	1743
107	209	1730
108	210	1717
109	210	1704
110	211	1690
111	211	1678
112	212	1665
113	212	1654
114	214	1649
115	214	1637
116	215	1626
117	216	1616
118	216	1604
119	217	1593
120	217	1583
121	218	1571
122	218	1560
123	219	1549
124	219	1539
125	220	1528
126	220	1517
127	221	1507
128	221	1497
129	222	1489
130	223	1479
131	223	1469
132	224	1460
133	224	1451
134	225	1445
135	226	1437
136	226	1429
137	227	1421
138	228	1413
139	228	1405
140	229	1397
141	229	1387
142	230	1379
143	230	1371
144	231	1363
145	231	1355
146	232	1347
147	232	1339
148	233	1332
149	233	1324
150	234	1317
151	234	1310
152	235	1303
153	235	1295
154	236	1289
155	237	1285
156	238	1281
157	239	1274
158	239	1267
159	240	1261
160	240	1254
161	241	1247
162	241	1241
163	242	1234
164	242	1228
165	243	1222
166	243	1215
167	244	1209
168	244	1203
169	245	1197
170	245	1192
171	246	1186
172	247	1180
173	247	1175
174	248	1169
175	248	1163
176	249	1161
177	251	1163
178	252	1158
179	253	1154
180	253	1149
181	254	1143
182	255	1138
183	255	1133
184	256	1127
185	256	1122
186	257	1117
187	257	1112
188	258	1107
189	258	1102
190	259	1097
191	259	1092
192	260	1087
193	260	1082
194	261	1077
195	261	1074
196	262	1071
197	263	1066
198	263	1062
199	264	1057
200	265	1053
201	265	1049
202	266	1044
203	266	1040
204	267	1036
205	267	1031
206	268	1027
207	268	1022
208	269	1018
209	269	1014
210	270	1010
211	270	1006
212	271	1002
213	271	998
214	272	993
215	272	989
216	273	986
217	274	983
218	275	980
219	275	977
220	276	973
221	276	969
222	277	966
223	277	962
224	278	959
225	278	955
226	279	951
227	280	948
228	280	944
229	281	941
230	281	937
231	282	934
232	282	930
233	283	927
234	283	924
235	284	921
236	285	917
237	285	914
238	286	912
239	287	909
240	287	906
241	288	904
242	289	902
243	290	899
244	290	896
245	291	893
246	291	890
247	292	886
248	293	883
249	293	880
250	294	877
251	294	874
252	295	871
253	295	868
254	296	865
255	296	862
256	297	859
257	298	857
258	299	855
259	299	852
260	300	850
261	300	847
262	301	844
263	301	841
264	302	838
265	302	835
266	303	833
267	304	830
268	304	827
269	305	825
270	305	822
271	306	819
272	306	816
273	307	813
274	307	811
275	308	808
276	308	806
277	309	803
278	310	802
279	311	800
280	311	797
281	312	795
282	313	793
283	313	790
284	314	787
285	314	785
286	315	782
287	315	780
288	316	778
289	317	776
290	317	774
291	318	771
292	318	769
293	319	766
294	319	764
295	320	761
296	320	759
297	321	756
298	322	756
299	323	754
300	324	752
301	324	750
302	325	748
303	325	746
304	326	743
305	326	741
306	327	739
307	328	736
308	328	734
309	329	732
310	329	730
311	330	727
312	330	725
313	331	723
314	331	721
315	332	719
316	332	716
317	333	714
318	333	712
319	334	711
320	335	709
321	336	707
322	336	706
323	337	704
324	338	702
325	338	699
326	339	697
327	339	695
328	340	693
329	340	691
330	341	689
331	341	687
332	342	685
333	342	683
334	343	681
335	344	680
336	344	678
337	345	676
338	346	674
339	346	673
340	347	671
341	348	669
342	348	667
343	349	666
344	349	664
345	350	662
346	351	660
347	351	658
348	352	656
349	352	655
350	353	653
351	353	651
352	354	649
353	354	647
354	355	645
355	356	644
356	356	642
357	357	640
358	357	638
359	358	637
360	359	635
361	359	634
362	360	632
363	360	630
364	361	628
365	362	627
366	362	625
367	363	624
368	363	622
369	364	620
370	365	618
371	365	617
372	366	615
373	366	613
374	367	611
375	367	610
376	368	608
377	368	606
378	369	604
379	369	603
380	372	605
381	373	604
382	374	602
383	374	601
384	375	599
385	375	597
386	376	596
387	376	594
388	377	592
389	377	591
390	378	589
391	379	588
392	379	586
393	380	584
394	380	583
395	381	581
